Temperature - (Celsius), Year, Statistics, Country, ISO3
18.0699,1937, May Average, Australia, AUS
13.9454,1937, Jun Average, Australia, AUS
13.0827,1937, Jul Average, Australia, AUS
15.5341,1937, Aug Average, Australia, AUS
18.8175,1937, Sep Average, Australia, AUS
23.1669,1937, Oct Average, Australia, AUS
25.9505,1937, Nov Average, Australia, AUS
27.1516,1937, Dec Average, Australia, AUS
27.4497,1938, Jan Average, Australia, AUS
26.4159,1938, Feb Average, Australia, AUS
26.2867,1938, Mar Average, Australia, AUS
22.4385,1938, Apr Average, Australia, AUS
19.0196,1938, May Average, Australia, AUS
14.8182,1938, Jun Average, Australia, AUS
13.7393,1938, Jul Average, Australia, AUS
15.2914,1938, Aug Average, Australia, AUS
19.2783,1938, Sep Average, Australia, AUS
23.2481,1938, Oct Average, Australia, AUS
26.3234,1938, Nov Average, Australia, AUS
28.1301,1938, Dec Average, Australia, AUS
28.805,1939, Jan Average, Australia, AUS
27.2713,1939, Feb Average, Australia, AUS
25.0093,1939, Mar Average, Australia, AUS
21.7448,1939, Apr Average, Australia, AUS
18.6425,1939, May Average, Australia, AUS
14.648,1939, Jun Average, Australia, AUS
12.9711,1939, Jul Average, Australia, AUS
14.6438,1939, Aug Average, Australia, AUS
17.9539,1939, Sep Average, Australia, AUS
21.4958,1939, Oct Average, Australia, AUS
24.1971,1939, Nov Average, Australia, AUS
26.5748,1939, Dec Average, Australia, AUS
27.8288,1940, Jan Average, Australia, AUS
26.4713,1940, Feb Average, Australia, AUS
26.1133,1940, Mar Average, Australia, AUS
20.8341,1940, Apr Average, Australia, AUS
16.5556,1940, May Average, Australia, AUS
15.0788,1940, Jun Average, Australia, AUS
13.7378,1940, Jul Average, Australia, AUS
15.9362,1940, Aug Average, Australia, AUS
19.1091,1940, Sep Average, Australia, AUS
23.5222,1940, Oct Average, Australia, AUS
24.6113,1940, Nov Average, Australia, AUS
27.4644,1940, Dec Average, Australia, AUS
26.0547,1941, Jan Average, Australia, AUS
26.6523,1941, Feb Average, Australia, AUS
24.1463,1941, Mar Average, Australia, AUS
21.9665,1941, Apr Average, Australia, AUS
17.569,1941, May Average, Australia, AUS
14.3605,1941, Jun Average, Australia, AUS
14.0011,1941, Jul Average, Australia, AUS
14.9193,1941, Aug Average, Australia, AUS
18.6568,1941, Sep Average, Australia, AUS
21.4785,1941, Oct Average, Australia, AUS
25.4349,1941, Nov Average, Australia, AUS
27.1891,1941, Dec Average, Australia, AUS
27.9575,1942, Jan Average, Australia, AUS
26.3174,1942, Feb Average, Australia, AUS
25.6717,1942, Mar Average, Australia, AUS
21.9143,1942, Apr Average, Australia, AUS
18.8083,1942, May Average, Australia, AUS
15.5319,1942, Jun Average, Australia, AUS
14.0482,1942, Jul Average, Australia, AUS
16.537,1942, Aug Average, Australia, AUS
19.402,1942, Sep Average, Australia, AUS
21.8797,1942, Oct Average, Australia, AUS
24.8932,1942, Nov Average, Australia, AUS
26.4702,1942, Dec Average, Australia, AUS
27.4479,1943, Jan Average, Australia, AUS
26.5678,1943, Feb Average, Australia, AUS
26.2428,1943, Mar Average, Australia, AUS
21.3314,1943, Apr Average, Australia, AUS
16.7594,1943, May Average, Australia, AUS
13.5725,1943, Jun Average, Australia, AUS
13.3784,1943, Jul Average, Australia, AUS
14.6274,1943, Aug Average, Australia, AUS
18.4293,1943, Sep Average, Australia, AUS
22.232,1943, Oct Average, Australia, AUS
24.1619,1943, Nov Average, Australia, AUS
26.6041,1943, Dec Average, Australia, AUS
28.3074,1944, Jan Average, Australia, AUS
26.3135,1944, Feb Average, Australia, AUS
25.0185,1944, Mar Average, Australia, AUS
